分類,商品標籤,商品名稱,描述,價格
鍵盤,KTKB35UBK / 名稱：S9 鵰光鍵影 鍵盤 USB,S9 鵰光鍵影 鍵盤 USB 標準104鍵鍵盤 遊戲特區4鍵特別標示橙鍵 支援隨插即用,"['◆標準104鍵鍵盤 台灣&香港適用', '◆9處導水孔位 防止因液體內滲導致鍵盤故障', '◆可調整式傾斜支腳 支援隨插即用 保固一年']",199 元
鍵盤,KTKBG3KGL-BK / 名稱：G3K鷹族青軸機械藍光電競鍵盤USB,青軸/機械藍光鍵盤/電競鍵盤/遊戲鍵盤/USB鍵盤/5000萬次按鍵壽命,"['◆2年保固.5000萬次按鍵壽命', '◆支援全鍵無衝突.LED藍冷光設計', '◆鍍金接頭.耐拉扯高密度編織線']",1290 元
鍵盤,KTKM4312CUU / 名稱：V12 鵰光鍵影 鍵盤滑鼠組U+U-戰鬥版,V12 鵰光鍵影 鍵盤滑鼠組U+U,"['★符合人體工學 素雅風 標準鍵盤', '★絲印+保護膜持久不退色 鍵盤腳撐架', '★滑鼠Led光學晶片製作 usb2.0接埠 即插即用']",299 元
鍵盤,KYGKB-3000 / 名稱：【KINYO】懸浮電競發光鍵盤 GKB-3000,KINYO 懸浮電競發光鍵盤,"['■懸浮按鍵，人體工學設計 ■中板炫彩背光', '■一體成型，金屬面版設計 ■FN+F1-F12組合多媒體快捷鍵設計 ■平橫桿技術，手感極佳', '■Scroll Lock 按鍵控制炫彩發光效果 ■穩固、可調式傾斜支腳']",499 元
鍵盤,KYKB-17U / 名稱：【KINYO】USB精緻標準鍵盤,【KINYO】USB精緻標準鍵盤 KB17U,"['◆USB鍵盤 接線方便', '◆按鍵UV覆膜 長久使用', '◆傾斜排水 貼心設計']",219 元
鍵盤,KYKB-18B / 名稱：【KINYO】PS2 標準鍵盤KB18B,【KINYO】標準鍵盤 KB18B,"['◆低噪音按鍵，觸感輕盈，打字輕快無負擔。', '◆按鍵加強UV護膜層，文字不易脫落，使用更長久。', '◆人體工學傾斜腳架，可做角度調整。']",199 元
鍵盤,SYKB-08 / 名稱：三洋 USB有線鍵盤SYKB-08,SANLUX台灣三洋USB鍵盤SYKB-08,"['◆薄型按鍵設計，超靜音，打字操作觸感佳。', '◆超炫流線型設計，品質穩定。', '◆防潑水設計']",299 元
滑鼠,A4MS-V7 / 名稱：【A4 TECH 】BLOODY V7 血手令智慧多核左3槍,【A4 TECH 】BLOODY V7 血手令智慧.多核左3槍/光學滑鼠,"['◆A4 TECH V7', '◆霹靂點射6倍快 先發得勝\n◆左鍵預設三種點射法\n◆超寬防滑發光滾輪', '◆8個自編程按鍵\n◆解析度：3200dpi解析度\n◆記憶體：內置160K']",799 元
滑鼠,EBEPCI003 / 名稱：E-Book E3 專業級翻頁紅光雷射無線簡報筆,E-Book E3 專業級翻頁紅光雷射無線簡報筆,"['．高亮度紅光，最佳聚光雷射效果', '．支援上、下翻頁、全螢幕/休眠', '可收納式接收器，便利攜帶不易脫落']",599 元
滑鼠,EBPCG105 / 名稱：E-books M20 六鍵式省電無線鼠,E-books M20 六鍵式省電無線滑鼠,"['‧六鍵式功能((側邊二鍵為多媒體功能鍵)', '‧無線技術與10公尺追蹤距離，零拘束使用感', '‧高解析三段式切換DPI (1600/1200/800DPI)']",299 元
滑鼠,KTMS268U / 名稱：KT追星II光學滑鼠USB,KT 追星II 光學滑鼠 USB/光學鼠USB/800DPI/有線光學滑鼠/有線光學鼠,"['◆人體工學的側身手握溝槽設計，輕鬆操控', '◆LED紅光，800DPI解析度', '◆適用於筆記型/桌上型電腦，具OTG功能的平板與手機']",99 元
滑鼠,KTMSRF3512G / 名稱：R7 4D無線電競光學滑鼠 黑金,"R7 4D無線電競光學滑鼠 黑金,無線,電競,光學滑鼠,4D按鍵,即插即用,遊戲,3段式,休眠模組,人體工學","['◆台灣光學滑鼠晶片，精準定位，穩定巡航', '◆4D按鍵，三段式1600dpi切換.循環切換', '◆USB介面即插即用.ON/OFF開關切換，節能省電']",249 元
滑鼠,KTMSRF3514BK / 名稱：R9 2.4G無線4D光學滑鼠1600DPI 黑色,2.4G 800/1200/1600DPI 即插即用 10M遠距360度 開關式省電設計 人體工學 迷你USB接收器,"['◆2.4Gwireless無線技術.10M遠距接收', '◆800/1200/1600DPI可調速度', '◆具備開關式省電設計.即插即用']",199 元
滑鼠,KYKM-733 / 名稱：KINYO 光學滑鼠USB,【KINYO】光學滑鼠 USB (KM-733),"['◆標準USB接頭，即插即用', '◆高解析度1000dpi', '◆附合人體工學，左右手者皆適用']",129 元
滑鼠,KYLKM-505 / 名稱：【KINYO】 藍光USB靜音滑鼠LKM50,KINYO 藍光USB靜音滑鼠LKM505(星空銀),"['●高科技藍光感應技術，可用於微塵玻璃與多種材質表面', '●無聲按鍵，有效降低噪音，夜間使用不影響他人。', '●採用1000DPI解析度設計']",199 元
滑鼠,KYPOR-3370 / 名稱：【KINYO】 輕薄無線雷射簡報筆,【KINYO】輕薄無線雷射簡報筆 POR-3370,"['採用2.4GHz無線技術，支援30公尺超長操作距離', '超高亮度紅光雷射，精確指出簡報重點', '磁吸式迷你USB接收器、附贈絨布袋，方便收納']",549 元
滑鼠,KYPOR-3385 / 名稱：KINYO 專業輕薄雷射簡報筆,【KINYO】專業輕薄雷射簡報筆 POR-3385 紅光,"['採用2.4GH無線技術,支援30公尺超長操作距離', '超高亮度紅光雷射,精確指出簡報重點', '磁吸式USB接收器、附贈絨布袋,收納便利']",649 元
滑鼠,MSLOGB100 / 名稱：羅技 B100 光學鼠USB (白盒),羅技 B100 光學鼠USB 辦公基本必備工具也能有好品質 順暢操作 隨插即用,"['◆辦公基本必備工具也能有好品質', '◆順暢操作', '◆隨插即用']",190 元
滑鼠,MSLOGG102 / 名稱：羅技 G102 炫彩遊戲滑鼠,羅技 G102 炫彩遊戲滑鼠,"['◆七彩光學效果，讓遊戲更充滿樂趣', '◆高達8000DPI遊戲等級感應器', '◆機械按鍵張力系統']",499 元
滑鼠,MSLOGG304 / 名稱：羅技 G304 無線電競滑鼠-黑,羅技 G304 無線電競滑鼠-黑,"['◆高效能 HERO 感應器，高達10倍省電效能', '◆超疾速 LIGHTSPEED 無線技術', '◆內建記憶體，6個可自訂按鍵']",1090 元
滑鼠,MSLOGM100R / 名稱：羅技 M100R 光學鼠USB,羅技 M100r 光學滑鼠 有線設計 雙手均適用 1000 dpi高解析度,"['◆有線設計，免除更換電池的過程', '◆雙手均適用的舒適設計', '◆1000 dpi高解析度光學追蹤技術']",299 元
滑鼠,MSLOGM190BK / 名稱：羅技 M190 無線滑鼠-黑,羅技 M190 無線滑鼠-黑,"['◆全尺寸的舒適感', '◆無延遲的無線連線。', '◆精確追蹤/輕鬆捲動。']",349 元
滑鼠,MSLOGM190BL / 名稱：羅技 M190 無線滑鼠-藍,羅技 M190 無線滑鼠-藍,"['◆全尺寸的舒適感。', '◆無延遲的無線連線。', '◆精確追蹤/輕鬆捲動。']",349 元
滑鼠,MSLOGM190R / 名稱：羅技 M190 無線滑鼠-紅,羅技 M190 無線滑鼠-紅,"['◆全尺寸的舒適感', '◆無延遲的無線連線。', '◆精確追蹤/輕鬆捲動。']",349 元
滑鼠,MSLOGM90 / 名稱：羅技 M90 光學滑鼠,羅技 M90 光學滑鼠,"['◆羅技 logi M90', '◆全尺寸左右手皆適用', '◆有線']",189 元
滑鼠,SYMSM8BK / 名稱：三洋 M8 USB光學鼠 黑,,"['◆SANYO三洋USB光學環保滑鼠 (高雅黑)', '◆USB介面', '']",159 元
滑鼠墊,DF03-0002 / 名稱：darkFlash Flex800滑鼠墊,darkFlash Flex800滑鼠墊 產品尺寸：80*30 cm 厚度：4mm 厚度舒適精準 14種RGB燈光變化,"['◆darkFlash Flex800 mousepad', '◆天然橡膠材質加厚，兼具外觀和功能', '◆14 Mode with Color & RGB']",499 元
滑鼠墊,DF03-0007 / 名稱：darkFlash Flex900滑鼠墊,darkFlash Flex900滑鼠墊 尺寸90*40cm 4.5mm厚度 14種RGB燈光變化,"['◆darkFlash Flex900 mousepad', '◆天然橡膠材質加厚，兼具外觀和功能', '◆14 Mode with Color & RGB']",599 元
滑鼠墊,KTMP102BK / 名稱：折疊型光學鼠墊,,"['◆廠牌：KTNET', '◆尺寸: 180*220*2mm ◆顏色：黑', '']",59 元
滑鼠墊,KTMP10P-2218BK / 名稱：KT MP10 高耐磨PVC橡膠鼠墊220*180mm 黑色,厚度3.3mm 高耐磨鼠墊光學鼠專用表面/天然橡膠底高週波黏合不脫落,"['◆厚度3.3mm定位精準.防水防油抗污', '◆天然橡膠材質.穩固止滑舒適', '◆輕巧便攜.適用各種解析度滑鼠']",69 元
滑鼠墊,KTMP2011S / 名稱：KT 小蠻腰矽膠鼠墊,,"['◆廠牌：KTNET ◆高密度針織布面', '◆柔軟舒適的軟心矽膠(GEL)手腕靠墊', '']",109 元
滑鼠墊,KTMP252 / 名稱：黑精靈光學鼠墊,黑精靈 超薄光學鼠墊 高密度編織 雷射切邊，不易翹邊 高週波面料底材黏合 天然橡膠底材，止滑效果佳，滑鼠相容度100%,"['◆佳績布面料，高密度編織，輕鬆光學反射定位，雷射切邊，不易翹邊', '◆高週波面料底材黏合，不易剝離', '◆天然橡膠底材，止滑效果佳，滑鼠相容度100%']",39 元
滑鼠墊,KTMP60P-6030BK / 名稱：KT MP60 防水車邊止滑大鼠墊600*300*2mm,奈米防水 止滑大鼠墊 防滑穩固 遊戲鼠墊 高密度車邊 天然橡膠材質,"['◆奈米防水.防滑穩固', '◆天然橡膠材質.吸附效果佳', '◆高密度車邊.輕薄密合桌面']",249 元
滑鼠墊,MP102 / 名稱：布面鼠墊+PP袋,,"['◆材質:布質表面+泡棉底', '◆尺寸:220*180*2mm', '']",39 元
滑鼠墊,MPJA1280 / 名稱：捷藝 超彈力紓壓鼠墊,,"['● 超細纖維表層，觸感柔滑順暢\n● 消除手部壓力，提升操控舒適性\n● 超高解晰，反應快速，定位精準', '● 外觀尺寸250 x 210 x 9 mm', '']",180 元
列印耗材/紙,PFAX578012-T1-05 / 名稱：電子發票57x80x12mm(5捲),電子發票57x80x12mm-背面中獎資料(熱感/外80mm內12mm)-約70米,"['◆不含雙酚A(BPA)材質最安心', '◆適合各式電子發票列印機', '◆耐水,耐油,耐熱,耐光.背面印發票兌獎資訊']",450 元
家庭電子應用,00A139-ATW-101A / 名稱：ATW-101A,ATW-101A 高功率無線紅外線人體偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-101B / 名稱：ATW-101B,ATW-101B 無線紅外線人體偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-101C / 名稱：ATW-101C,ATW-101C 無線紅外線人體偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-103A / 名稱：ATW-103A,ATW-103A 無線門磁開關偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-104A / 名稱：ATW-104A,ATW-104A 高功率無線門磁開關偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-104B / 名稱：ATW-104B,ATW-104B 高功率無線門磁開關有線偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-104C / 名稱：ATW-104C,ATW-104C 有線門磁開關偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-105A / 名稱：ATW-105A,ATW-105A 高功率無線震動開關偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-106B / 名稱：ATW-106B,ATW-106B 高功率無線鐵捲門開關偵測器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-107B / 名稱：ATW-107B,ATW-107B 無線袖珍型遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-107C / 名稱：ATW-107C,ATW-107C 無線豪華型遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-107D / 名稱：ATW-107D,ATW-107D 高功率無線遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-108A / 名稱：ATW-108A,ATW-108A 無線拷貝型遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-109A / 名稱：ATW-109A,ATW-109A 無線迷你型緊急呼救按鈕,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-113B / 名稱：ATW-113B,ATW-113B 有線超響度警報器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-114B / 名稱：ATW-114B,ATW-114B 報警器不間斷電源,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-116A / 名稱：ATW-116A,ATW-116A 有線高響度警報器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-125A / 名稱：ATW-125A,ATW-125A 有線閃光警示器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-150A / 名稱：ATW-150A,ATW-150A 四路對碼無線接收板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-150B / 名稱：ATW-150B,ATW-150B 四路對碼無線接收板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-151A / 名稱：ATW-151A,ATW-151A 四路固碼閉鎖無線接收板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-151B / 名稱：ATW-151B,ATW-151B 四路固碼閉鎖無線接收板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-152A / 名稱：ATW-152A,ATW-152A 四路無線對碼接收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-153A / 名稱：ATW-153A,ATW-153A 一路無線固碼接收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-154A / 名稱：ATW-154A,ATW-154A 高功率無線對碼發射板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-154B / 名稱：ATW-154B,ATW-154B 無線對碼發射板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-155A / 名稱：ATW-155A,ATW-155A 對碼無線接收控制板,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-162A / 名稱：ATW-162A,ATW-162A 四路無線遙控接收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-163A / 名稱：ATW-163A,ATW-163A 一路無線接遙控收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-165A / 名稱：ATW-165A,ATW-165A 二路無線接遙控收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-166A / 名稱：ATW-166A,ATW-166A 六路無線接遙控收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-167A / 名稱：ATW-167A,ATW-167A 八路無線接遙控收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-168A / 名稱：ATW-168A,ATW-168A 十二路無線接遙控收控制器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-169A / 名稱：ATW-169A,ATW-169A 開關、插座專用十二鍵無線遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-170A / 名稱：ATW-170A,ATW-170A 開關、插座專用十五鍵無線遙控器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-171A / 名稱：ATW-171A,ATW-171A 遙控開關專用大功率繼電器﹝含座﹞,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-322A / 名稱：ATW-322A,ATW-322A 電子式超音波感應驅蚊器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-322B / 名稱：ATW-322B,ATW-322B 電子式超音波感應驅蚊器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-322C / 名稱：ATW-322C,ATW-322C 電子式超音波感應驅蚊器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323A / 名稱：ATW-323A,ATW-323A 電子式超音波感應驅鼠器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323B / 名稱：ATW-323B,ATW-323B 電子式超音波感應驅鼠器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323C / 名稱：ATW-323C,ATW-323C 電子式超音波感應驅鼠器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323D / 名稱：ATW-323D,ATW-323D 電子式超音波感應驅鼠器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323E / 名稱：ATW-323E,ATW-323E 電子式超音波感應驅鼠器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-323F / 名稱：ATW-323F,ATW-323F 電子式超音波感應驅狗器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-326A / 名稱：ATW-326A,ATW-326A 會說話語音報時電子鬧鐘,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-327A / 名稱：ATW-327A,ATW-327A 會說話語音報數電子計算機,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-626A / 名稱：ATW-626A,ATW-626A 無線對碼式聲光現場求救、支援報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-626B / 名稱：ATW-626B,ATW-626B 無線對碼式紅外線現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-626C / 名稱：ATW-626C,ATW-626C 無線對碼式窗戶現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-626D / 名稱：ATW-626D,ATW-626D 無線高響度警報器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-636A / 名稱：ATW-636A,ATW-636A 無線對碼式聲光現場求救、支援報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-636B / 名稱：ATW-636B,ATW-636B 無線對碼式紅外線現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-636C / 名稱：ATW-636C,ATW-636C 無線對碼式窗戶現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-656A / 名稱：ATW-656A,ATW-656A 無線對碼式聲光現場求救、支援報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-656B / 名稱：ATW-656B,ATW-656B 無線對碼式紅外線現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-656C / 名稱：ATW-656C,ATW-656C 無線對碼式窗戶現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-656D / 名稱：ATW-656D,ATW-626D 無線高響度警報器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-686A / 名稱：ATW-686A,ATW-686A 無線對碼式紅外線現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-686B / 名稱：ATW-686B,ATW-686B 無線對碼式窗戶現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-686C / 名稱：ATW-686C,ATW-686C 無線對碼式紅外線現場聲光防盜報警器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-813A / 名稱：ATW-813A,ATW-813A 無線自動求救撥號器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-813B / 名稱：ATW-813B,ATW-813B GSM遠程無線撥號器,"['', '', '']",價格須至店內詢問
家庭電子應用,00A139-ATW-999A / 名稱：ATW-999A,ATW-999A GSM遠程無線有線對碼式現場防盜報警器,"['', '', '']",價格須至店內詢問
